metabolite_id,metabolite_name,concentration,unit,condition,replicate,pool_type
ala__L_c,L-Alanine,3059.413941576819,μM,acetate_minimal,1,amino_acid
arg__L_c,L-Arginine,1489.6073327426802,μM,acetate_minimal,1,amino_acid
asn__L_c,L-Asparagine,725.6120028630717,μM,acetate_minimal,1,amino_acid
asp__L_c,L-Aspartate,2381.240911953655,μM,acetate_minimal,1,amino_acid
cys__L_c,L-Cysteine,300.46084134171684,μM,acetate_minimal,1,amino_acid
glu__L_c,L-Glutamate,5178.59182869005,μM,acetate_minimal,1,amino_acid
gln__L_c,L-Glutamine,3215.3229697806546,μM,acetate_minimal,1,amino_acid
gly_c,Glycine,1545.4638045884426,μM,acetate_minimal,1,amino_acid
his__L_c,L-Histidine,456.9507270675059,μM,acetate_minimal,1,amino_acid
ile__L_c,L-Isoleucine,909.4727864524043,μM,acetate_minimal,1,amino_acid
leu__L_c,L-Leucine,1132.609788613823,μM,acetate_minimal,1,amino_acid
lys__L_c,L-Lysine,2034.3467954838773,μM,acetate_minimal,1,amino_acid
met__L_c,L-Methionine,441.76768673694806,μM,acetate_minimal,1,amino_acid
phe__L_c,L-Phenylalanine,761.1513168916332,μM,acetate_minimal,1,amino_acid
pro__L_c,L-Proline,747.4911296461241,μM,acetate_minimal,1,amino_acid
ser__L_c,L-Serine,1652.4789642198512,μM,acetate_minimal,1,amino_acid
thr__L_c,L-Threonine,1119.2422996322118,μM,acetate_minimal,1,amino_acid
trp__L_c,L-Tryptophan,244.37236635238284,μM,acetate_minimal,1,amino_acid
tyr__L_c,L-Tyrosine,546.129255489905,μM,acetate_minimal,1,amino_acid
val__L_c,L-Valine,1251.6595827618328,μM,acetate_minimal,1,amino_acid
