metabolite_id,metabolite_name,concentration,unit,condition,replicate,pool_type
ala__L_c,L-Alanine,5313.1515374719775,μM,glucose_minimal,1,amino_acid
arg__L_c,L-Arginine,1655.3535103007664,μM,glucose_minimal,1,amino_acid
asn__L_c,L-Asparagine,1721.4111666429324,μM,glucose_minimal,1,amino_acid
asp__L_c,L-Aspartate,4124.462541054243,μM,glucose_minimal,1,amino_acid
cys__L_c,L-Cysteine,583.7529645946033,μM,glucose_minimal,1,amino_acid
glu__L_c,L-Glutamate,6369.596009592194,μM,glucose_minimal,1,amino_acid
gln__L_c,L-Glutamine,3719.7603724044793,μM,glucose_minimal,1,amino_acid
gly_c,Glycine,2418.5878890574654,μM,glucose_minimal,1,amino_acid
his__L_c,L-Histidine,719.4314935491789,μM,glucose_minimal,1,amino_acid
ile__L_c,L-Isoleucine,1603.2583421855952,μM,glucose_minimal,1,amino_acid
leu__L_c,L-Leucine,2246.429998008112,μM,glucose_minimal,1,amino_acid
lys__L_c,L-Lysine,2610.580780726107,μM,glucose_minimal,1,amino_acid
met__L_c,L-Methionine,594.6665639885742,μM,glucose_minimal,1,amino_acid
phe__L_c,L-Phenylalanine,614.964890753834,μM,glucose_minimal,1,amino_acid
pro__L_c,L-Proline,1286.3476992107803,μM,glucose_minimal,1,amino_acid
ser__L_c,L-Serine,1925.64688963228,μM,glucose_minimal,1,amino_acid
thr__L_c,L-Threonine,2073.2620875601056,μM,glucose_minimal,1,amino_acid
trp__L_c,L-Tryptophan,510.9778499045248,μM,glucose_minimal,1,amino_acid
tyr__L_c,L-Tyrosine,645.5421594252613,μM,glucose_minimal,1,amino_acid
val__L_c,L-Valine,1872.2492350138934,μM,glucose_minimal,1,amino_acid
