metabolite_id,metabolite_name,concentration,unit,condition,replicate
glc__D_c,Glucose,5522.224360813543,μM,glucose_minimal,1
g6p_c,Glucose-6-phosphate,,μM,glucose_minimal,1
f6p_c,Fructose-6-phosphate,910.6416266513716,μM,glucose_minimal,1
fdp_c,"Fructose-1,6-bisphosphate",203.41358386424798,μM,glucose_minimal,1
dhap_c,Dihydroxyacetone phosphate,190.84979243396802,μM,glucose_minimal,1
g3p_c,Glyceraldehyde-3-phosphate,143.13781432556613,μM,glucose_minimal,1
13dpg_c,"1,3-Bisphosphoglycerate",68.57071637053294,μM,glucose_minimal,1
3pg_c,3-Phosphoglycerate,932.7140538109397,μM,glucose_minimal,1
2pg_c,2-Phosphoglycerate,182.07569175104462,μM,glucose_minimal,1
pep_c,Phosphoenolpyruvate,,μM,glucose_minimal,1
pyr_c,Pyruvate,1822.9638070658727,μM,glucose_minimal,1
accoa_c,Acetyl-CoA,728.8484165268848,μM,glucose_minimal,1
cit_c,Citrate,,μM,glucose_minimal,1
icit_c,Isocitrate,136.4094899791661,μM,glucose_minimal,1
akg_c,2-Oxoglutarate,212.46959763022926,μM,glucose_minimal,1
succoa_c,Succinyl-CoA,44.681766028832804,μM,glucose_minimal,1
succ_c,Succinate,489.979440053199,μM,glucose_minimal,1
fum_c,Fumarate,212.97330582004395,μM,glucose_minimal,1
mal__L_c,L-Malate,667.144665740277,μM,glucose_minimal,1
oaa_c,Oxaloacetate,,μM,glucose_minimal,1
6pgc_c,6-Phosphogluconate,13.406167292407575,μM,glucose_minimal,1
ru5p__D_c,D-Ribulose-5-phosphate,9.55849065092942,μM,glucose_minimal,1
r5p_c,D-Ribose-5-phosphate,10.13597254072926,μM,glucose_minimal,1
xu5p__D_c,D-Xylulose-5-phosphate,7.520521287844888,μM,glucose_minimal,1
ala__L_c,L-Alanine,8.968411302709717,μM,glucose_minimal,1
arg__L_c,L-Arginine,10.22432424192915,μM,glucose_minimal,1
asn__L_c,L-Asparagine,7.943757320597626,μM,glucose_minimal,1
asp__L_c,L-Aspartate,10.78034637971027,μM,glucose_minimal,1
cys__L_c,L-Cysteine,8.868071505244439,μM,glucose_minimal,1
glu__L_c,L-Glutamate,9.433303401926459,μM,glucose_minimal,1
gln__L_c,L-Glutamine,8.866177625220836,μM,glucose_minimal,1
gly_c,Glycine,14.483944062790496,μM,glucose_minimal,1
his__L_c,L-Histidine,9.973041952776597,μM,glucose_minimal,1
ile__L_c,L-Isoleucine,8.093351378894312,μM,glucose_minimal,1
leu__L_c,L-Leucine,11.788141581086736,μM,glucose_minimal,1
lys__L_c,L-Lysine,7.8335544755111925,μM,glucose_minimal,1
met__L_c,L-Methionine,10.426574755859084,μM,glucose_minimal,1
phe__L_c,L-Phenylalanine,6.757486951615438,μM,glucose_minimal,1
