metabolite_id,metabolite_name,concentration,unit,condition,replicate
glc__D_c,Glucose,0.0,μM,lactose_minimal,1
g6p_c,Glucose-6-phosphate,292.2693951504134,μM,lactose_minimal,1
f6p_c,Fructose-6-phosphate,142.81608318303523,μM,lactose_minimal,1
fdp_c,"Fructose-1,6-bisphosphate",43.00325336818095,μM,lactose_minimal,1
dhap_c,Dihydroxyacetone phosphate,50.22142237948534,μM,lactose_minimal,1
g3p_c,Glyceraldehyde-3-phosphate,33.978140695072824,μM,lactose_minimal,1
13dpg_c,"1,3-Bisphosphoglycerate",14.770469142176575,μM,lactose_minimal,1
3pg_c,3-Phosphoglycerate,321.18358309962935,μM,lactose_minimal,1
2pg_c,2-Phosphoglycerate,79.26734660428549,μM,lactose_minimal,1
pep_c,Phosphoenolpyruvate,117.9908212939008,μM,lactose_minimal,1
pyr_c,Pyruvate,802.0830098335585,μM,lactose_minimal,1
accoa_c,Acetyl-CoA,802.4234577043865,μM,lactose_minimal,1
cit_c,Citrate,284.5335315646959,μM,lactose_minimal,1
icit_c,Isocitrate,258.44143918509326,μM,lactose_minimal,1
akg_c,2-Oxoglutarate,283.32492599445305,μM,lactose_minimal,1
succoa_c,Succinyl-CoA,33.698318596365425,μM,lactose_minimal,1
succ_c,Succinate,403.6021432550867,μM,lactose_minimal,1
fum_c,Fumarate,165.19552579337392,μM,lactose_minimal,1
mal__L_c,L-Malate,573.7748650141378,μM,lactose_minimal,1
oaa_c,Oxaloacetate,92.27993542125562,μM,lactose_minimal,1
6pgc_c,6-Phosphogluconate,10.992713210794117,μM,lactose_minimal,1
ru5p__D_c,D-Ribulose-5-phosphate,9.855397852981048,μM,lactose_minimal,1
r5p_c,D-Ribose-5-phosphate,8.44205995546623,μM,lactose_minimal,1
xu5p__D_c,D-Xylulose-5-phosphate,7.386216646570621,μM,lactose_minimal,1
ala__L_c,L-Alanine,9.145684261245442,μM,lactose_minimal,1
arg__L_c,L-Arginine,11.86822726761321,μM,lactose_minimal,1
asn__L_c,L-Asparagine,10.437486970283121,μM,lactose_minimal,1
asp__L_c,L-Aspartate,7.794647944763567,μM,lactose_minimal,1
cys__L_c,L-Cysteine,10.35243003521205,μM,lactose_minimal,1
glu__L_c,L-Glutamate,10.801106352607643,μM,lactose_minimal,1
gln__L_c,L-Glutamine,8.379712497689303,μM,lactose_minimal,1
gly_c,Glycine,10.312225304670367,μM,lactose_minimal,1
his__L_c,L-Histidine,10.117097725223669,μM,lactose_minimal,1
ile__L_c,L-Isoleucine,7.956514550540809,μM,lactose_minimal,1
leu__L_c,L-Leucine,10.741798842684513,μM,lactose_minimal,1
lys__L_c,L-Lysine,11.186883749807246,μM,lactose_minimal,1
met__L_c,L-Methionine,12.418599911758072,μM,lactose_minimal,1
phe__L_c,L-Phenylalanine,12.346165183539439,μM,lactose_minimal,1
pro__L_c,L-Proline,7.591667159553478,μM,lactose_minimal,1
ser__L_c,L-Serine,8.289752264212751,μM,lactose_minimal,1
thr__L_c,L-Threonine,11.084992277831457,μM,lactose_minimal,1
trp__L_c,L-Tryptophan,11.082222891530066,μM,lactose_minimal,1
tyr__L_c,L-Tyrosine,11.085019810985381,μM,lactose_minimal,1
val__L_c,L-Valine,21.609464523934292,μM,lactose_minimal,1
amp_c,AMP,448.38070040434604,μM,lactose_minimal,1
adp_c,ADP,1505.9661988905998,μM,lactose_minimal,1
atp_c,ATP,2420.43562248112,μM,lactose_minimal,1
gmp_c,GMP,113.91453067096604,μM,lactose_minimal,1
gdp_c,GDP,375.55716558034544,μM,lactose_minimal,1
gtp_c,GTP,1396.7043151993353,μM,lactose_minimal,1
ump_c,UMP,171.35755247250322,μM,lactose_minimal,1
udp_c,UDP,572.2442632428023,μM,lactose_minimal,1
