gene_id,gene_name,expression_value,condition,replicate
b2415,glk,-1.3368185250186615,acetate_minimal,1
b2416,pfkA,-1.572335153064445,acetate_minimal,1
b1854,pykF,-1.2985055783111652,acetate_minimal,1
b1852,pykA,-1.4466359853355157,acetate_minimal,1
b0720,gltA,1.4531596403337108,acetate_minimal,1
b0118,acnA,1.0550328176076968,acetate_minimal,1
b0116,acnB,1.0661384563218497,acetate_minimal,1
b1478,icdA,1.3139664681082859,acetate_minimal,1
b0114,sucA,1.1264945928597268,acetate_minimal,1
b0721,sucB,1.1555712991478346,acetate_minimal,1
b0722,sucC,1.1311462031091826,acetate_minimal,1
b0723,sucD,0.9631451101443971,acetate_minimal,1
b0724,sdhA,1.4436416407295554,acetate_minimal,1
b0725,sdhB,1.2263264887302385,acetate_minimal,1
b0726,sdhC,1.400285350455132,acetate_minimal,1
b0727,sdhD,1.0985709839020863,acetate_minimal,1
b0728,fumA,1.3209840971627935,acetate_minimal,1
b1612,fumB,1.090555105176199,acetate_minimal,1
b0729,mdh,1.2734852805052952,acetate_minimal,1
b0344,lacZ,-3.489210410984351,acetate_minimal,1
b0343,lacY,-3.223389178826291,acetate_minimal,1
b0342,lacA,-3.0266514643200124,acetate_minimal,1
b2296,acs,2.1176399149612717,acetate_minimal,1
b4017,ackA,1.9073104959080294,acetate_minimal,1
b4069,pta,1.8377650744309062,acetate_minimal,1
