gene_id,gene_name,expression_value,condition,replicate
b2415,glk,2.177957883940698,glucose_minimal,1
b2416,pfkA,1.9511426984847184,glucose_minimal,1
b1854,pykF,1.8802404689457344,glucose_minimal,1
b1852,pykA,1.6799840527360448,glucose_minimal,1
b0720,gltA,0.5620993439164175,glucose_minimal,1
b0118,acnA,0.5695990590875509,glucose_minimal,1
b0116,acnB,0.36880735483124727,glucose_minimal,1
b1478,icdA,0.6151486567659525,glucose_minimal,1
b0114,sucA,0.4160363806372363,glucose_minimal,1
b0721,sucB,0.299685899823727,glucose_minimal,1
b0722,sucC,0.31836456133422975,glucose_minimal,1
b0723,sucD,0.45017231001360564,glucose_minimal,1
b0724,sdhA,0.6301319394863758,glucose_minimal,1
b0725,sdhB,0.47178876986987167,glucose_minimal,1
b0726,sdhC,0.4659182899784533,glucose_minimal,1
b0727,sdhD,0.19046353827018375,glucose_minimal,1
b0728,fumA,0.5435948595828927,glucose_minimal,1
b1612,fumB,0.1635760480038916,glucose_minimal,1
b0729,mdh,0.6683718962801831,glucose_minimal,1
b0344,lacZ,-3.2220990647695675,glucose_minimal,1
b0343,lacY,-2.9730345796471616,glucose_minimal,1
b0342,lacA,-2.9865649676762764,glucose_minimal,1
b2296,acs,-1.8196394891931473,glucose_minimal,1
b4017,ackA,-1.4380833174101006,glucose_minimal,1
b4069,pta,-1.646093832188521,glucose_minimal,1
