substrate_flux,o2_flux,growth_rate
0.0,0.0,0.24150155709718155
0.0,-0.5,0.26710796091341904
0.0,-1.0,0.2920454261439236
0.0,-1.5,0.31698289137443186
0.0,-2.0,0.3419203566049414
0.0,-2.5,0.36685782183544446
0.0,-3.0,0.39179528706595373
0.0,-3.5,0.41673275229646556
0.0,-4.0,0.44167021752696695
0.0,-4.5,0.4666076827574785
0.0,-5.0,0.4915451479879773
0.0,-5.5,0.5164826132184935
0.0,-6.0,0.5414200784489945
0.0,-6.5,0.5663575436794925
0.0,-7.0,0.5912950089099994
0.0,-7.5,0.6141988372338165
0.0,-8.0,0.6358065359931463
0.0,-8.5,0.6574142347524744
0.0,-9.0,0.6790219335118008
0.0,-9.5,0.7006296322711223
0.0,-10.0,0.7222373310304462
0.0,-10.5,0.7438450297897758
0.0,-11.0,0.7654527285490993
0.0,-11.5,0.787060427308426
0.0,-12.0,0.8086681260677478
0.0,-12.5,0.8302758248270796
0.0,-13.0,0.8518835235864002
0.0,-13.5,0.8734912223457268
0.0,-14.0,0.8950989211050445
0.0,-14.5,0.9167066198643726
0.0,-15.0,0.9383143186236933
0.0,-15.5,0.959922017383015
0.0,-16.0,0.9815297161423476
0.0,-16.5,1.003137414901674
0.0,-17.0,1.0247451136609942
0.0,-17.5,1.0463528124203216
0.0,-18.0,1.0679605111796489
0.0,-18.5,1.0895682099389652
0.0,-19.0,1.111175908698293
0.0,-19.5,1.1327836074576223
0.0,-20.0,1.1543913062169437
-0.5,0.0,0.24150155709718124
-0.5,-0.5,0.2671079609134222
-0.5,-1.0,0.29204542614392864
-0.5,-1.5,0.31698289137442986
-0.5,-2.0,0.3419203566049362
-0.5,-2.5,0.36685782183544163
-0.5,-3.0,0.3917952870659468
-0.5,-3.5,0.4167327522964529
-0.5,-4.0,0.44167021752695934
-0.5,-4.5,0.4666076827574638
-0.5,-5.0,0.49154514798797067
-0.5,-5.5,0.5164826132184768
-0.5,-6.0,0.5414200784489823
-0.5,-6.5,0.5663575436794842
-0.5,-7.0,0.5912950089099936
-0.5,-7.5,0.614198837233804
-0.5,-8.0,0.6358065359931435
-0.5,-8.5,0.6574142347524652
-0.5,-9.0,0.6790219335117943
-0.5,-9.5,0.7006296322711193
-0.5,-10.0,0.7222373310304415
-0.5,-10.5,0.743845029789771
-0.5,-11.0,0.765452728549097
-0.5,-11.5,0.7870604273084212
-0.5,-12.0,0.8086681260677502
-0.5,-12.5,0.8302758248270775
-0.5,-13.0,0.8518835235863984
-0.5,-13.5,0.8734912223457193
-0.5,-14.0,0.8950989211050394
-0.5,-14.5,0.9167066198643669
-0.5,-15.0,0.9383143186236911
-0.5,-15.5,0.9599220173830292
-0.5,-16.0,0.981529716142354
-0.5,-16.5,1.003137414901686
-0.5,-17.0,1.0247451136610064
-0.5,-17.5,1.0463528124203318
-0.5,-18.0,1.0679605111796568
-0.5,-18.5,1.0895682099389845
-0.5,-19.0,1.1111759086983055
-0.5,-19.5,1.1327836074576343
-0.5,-20.0,1.1543913062169542
-1.0,0.0,0.24150155709718235
-1.0,-0.5,0.26710796091341726
-1.0,-1.0,0.2920454261439274
-1.0,-1.5,0.31698289137443825
-1.0,-2.0,0.34192035660494513
-1.0,-2.5,0.3668578218354503
-1.0,-3.0,0.3917952870659531
-1.0,-3.5,0.41673275229645795
-1.0,-4.0,0.44167021752696256
-1.0,-4.5,0.4666076827574678
-1.0,-5.0,0.49154514798797594
-1.0,-5.5,0.5164826132184832
-1.0,-6.0,0.5414200784489881
-1.0,-6.5,0.5663575436794992
-1.0,-7.0,0.5912950089100053
-1.0,-7.5,0.6141988372338208
-1.0,-8.0,0.6358065359931447
-1.0,-8.5,0.6574142347524682
-1.0,-9.0,0.6790219335117936
-1.0,-9.5,0.7006296322711174
-1.0,-10.0,0.7222373310304427
-1.0,-10.5,0.7438450297897703
-1.0,-11.0,0.7654527285490982
-1.0,-11.5,0.7870604273084242
-1.0,-12.0,0.8086681260677484
-1.0,-12.5,0.8302758248270717
-1.0,-13.0,0.8518835235863965
-1.0,-13.5,0.8734912223457175
-1.0,-14.0,0.8950989211050446
-1.0,-14.5,0.9167066198643694
-1.0,-15.0,0.9383143186236911
-1.0,-15.5,0.9599220173830227
-1.0,-16.0,0.9815297161423429
-1.0,-16.5,1.0031374149016752
-1.0,-17.0,1.0247451136609962
-1.0,-17.5,1.046352812420323
-1.0,-18.0,1.0679605111796502
-1.0,-18.5,1.0895682099389794
-1.0,-19.0,1.1111759086983026
-1.0,-19.5,1.132783607457626
-1.0,-20.0,1.1543913062169537
-1.5,0.0,0.2415015570971729
-1.5,-0.5,0.2671079609134186
-1.5,-1.0,0.2920454261439269
-1.5,-1.5,0.31698289137442937
-1.5,-2.0,0.34192035660493586
-1.5,-2.5,0.366857821835447
-1.5,-3.0,0.39179528706595224
-1.5,-3.5,0.4167327522964529
-1.5,-4.0,0.44167021752696495
-1.5,-4.5,0.46660768275747094
-1.5,-5.0,0.4915451479879751
-1.5,-5.5,0.5164826132184812
-1.5,-6.0,0.5414200784489859
-1.5,-6.5,0.5663575436795035
-1.5,-7.0,0.59129500891
-1.5,-7.5,0.6141988372338215
-1.5,-8.0,0.6358065359931443
-1.5,-8.5,0.657414234752472
-1.5,-9.0,0.6790219335117951
-1.5,-9.5,0.7006296322711196
-1.5,-10.0,0.7222373310304439
-1.5,-10.5,0.7438450297897733
-1.5,-11.0,0.7654527285491002
-1.5,-11.5,0.7870604273084214
-1.5,-12.0,0.8086681260677514
-1.5,-12.5,0.8302758248270717
-1.5,-13.0,0.8518835235863991
-1.5,-13.5,0.8734912223457227
-1.5,-14.0,0.8950989211050457
-1.5,-14.5,0.9167066198643757
-1.5,-15.0,0.9383143186236981
-1.5,-15.5,0.959922017383017
-1.5,-16.0,0.9815297161423452
-1.5,-16.5,1.0031374149016699
-1.5,-17.0,1.0247451136609953
-1.5,-17.5,1.0463528124203205
-1.5,-18.0,1.067960511179646
-1.5,-18.5,1.08956820993897
-1.5,-19.0,1.1111759086982924
-1.5,-19.5,1.1327836074576203
-1.5,-20.0,1.1543913062169457
-2.0,0.0,0.24150155709718427
-2.0,-0.5,0.26710796091342615
-2.0,-1.0,0.2920454261439241
-2.0,-1.5,0.31698289137443253
-2.0,-2.0,0.34192035660493925
-2.0,-2.5,0.3668578218354451
-2.0,-3.0,0.39179528706595235
-2.0,-3.5,0.41673275229645756
-2.0,-4.0,0.4416702175269638
-2.0,-4.5,0.4666076827574689
-2.0,-5.0,0.49154514798797566
-2.0,-5.5,0.516482613218483
-2.0,-6.0,0.5414200784489888
-2.0,-6.5,0.5663575436794895
-2.0,-7.0,0.5912950089099954
-2.0,-7.5,0.6141988372338134
-2.0,-8.0,0.6358065359931561
-2.0,-8.5,0.6574142347524804
-2.0,-9.0,0.6790219335118065
-2.0,-9.5,0.7006296322711307
-2.0,-10.0,0.7222373310304566
-2.0,-10.5,0.7438450297897814
-2.0,-11.0,0.765452728549105
-2.0,-11.5,0.7870604273084316
-2.0,-12.0,0.8086681260677558
-2.0,-12.5,0.8302758248270816
-2.0,-13.0,0.8518835235864076
-2.0,-13.5,0.8734912223457366
-2.0,-14.0,0.8950989211050424
-2.0,-14.5,0.9167066198643674
-2.0,-15.0,0.9383143186236942
-2.0,-15.5,0.9599220173830216
-2.0,-16.0,0.9815297161423416
-2.0,-16.5,1.0031374149016745
-2.0,-17.0,1.0247451136609953
-2.0,-17.5,1.046352812420323
-2.0,-18.0,1.0679605111796444
-2.0,-18.5,1.0895682099389672
-2.0,-19.0,1.1111759086982942
-2.0,-19.5,1.132783607457619
-2.0,-20.0,1.1543913062169482
-2.5,0.0,0.24150155709716215
-2.5,-0.5,0.26710796091342276
-2.5,-1.0,0.29204542614393175
-2.5,-1.5,0.31698289137443186
-2.5,-2.0,0.34192035660493764
-2.5,-2.5,0.36685782183544224
-2.5,-3.0,0.39179528706595157
-2.5,-3.5,0.4167327522964577
-2.5,-4.0,0.44167021752696156
-2.5,-4.5,0.46660768275746867
-2.5,-5.0,0.4915451479879734
-2.5,-5.5,0.5164826132184779
-2.5,-6.0,0.5414200784489875
-2.5,-6.5,0.5663575436794926
-2.5,-7.0,0.5912950089099976
-2.5,-7.5,0.614198837233816
-2.5,-8.0,0.6358065359931537
-2.5,-8.5,0.6574142347524751
-2.5,-9.0,0.6790219335117924
-2.5,-9.5,0.7006296322711263
-2.5,-10.0,0.7222373310304468
-2.5,-10.5,0.7438450297897812
-2.5,-11.0,0.765452728549099
-2.5,-11.5,0.7870604273084316
-2.5,-12.0,0.8086681260677538
-2.5,-12.5,0.8302758248270828
-2.5,-13.0,0.8518835235864071
-2.5,-13.5,0.8734912223457257
-2.5,-14.0,0.8950989211050463
-2.5,-14.5,0.9167066198643703
-2.5,-15.0,0.9383143186236977
-2.5,-15.5,0.9599220173830241
-2.5,-16.0,0.9815297161423496
-2.5,-16.5,1.0031374149016714
-2.5,-17.0,1.0247451136610013
-2.5,-17.5,1.0463528124203205
-2.5,-18.0,1.0679605111796513
-2.5,-18.5,1.0895682099389734
-2.5,-19.0,1.1111759086982995
-2.5,-19.5,1.132783607457626
-2.5,-20.0,1.154391306216951
-3.0,0.0,0.2415015570971785
-3.0,-0.5,0.26710796091341843
-3.0,-1.0,0.2920454261439254
-3.0,-1.5,0.3169828913744372
-3.0,-2.0,0.3419203566049378
-3.0,-2.5,0.36685782183544263
-3.0,-3.0,0.391795287065954
-3.0,-3.5,0.41673275229645285
-3.0,-4.0,0.4416702175269648
-3.0,-4.5,0.46660768275747194
-3.0,-5.0,0.4915451479879766
-3.0,-5.5,0.5164826132184833
-3.0,-6.0,0.541420078448989
-3.0,-6.5,0.5663575436794972
-3.0,-7.0,0.5912950089100052
-3.0,-7.5,0.6141988372338231
-3.0,-8.0,0.6358065359931436
-3.0,-8.5,0.6574142347524763
-3.0,-9.0,0.6790219335117964
-3.0,-9.5,0.7006296322711307
-3.0,-10.0,0.722237331030448
