substrate_flux,o2_flux,growth_rate
0.0,0.0,0.0
0.0,-0.5,0.0
0.0,-1.0,0.0
0.0,-1.5,3.1072669150611923e-31
0.0,-2.0,0.0
0.0,-2.5,0.0
0.0,-3.0,0.0
0.0,-3.5,0.0
0.0,-4.0,0.0
0.0,-4.5,0.0
0.0,-5.0,0.0
0.0,-5.5,0.0
0.0,-6.0,0.0
0.0,-6.5,0.0
0.0,-7.0,0.0
0.0,-7.5,0.0
0.0,-8.0,0.0
0.0,-8.5,0.0
0.0,-9.0,0.0
0.0,-9.5,0.0
0.0,-10.0,0.0
0.0,-10.5,0.0
0.0,-11.0,0.0
0.0,-11.5,0.0
0.0,-12.0,0.0
0.0,-12.5,0.0
0.0,-13.0,0.0
0.0,-13.5,0.0
0.0,-14.0,0.0
0.0,-14.5,0.0
0.0,-15.0,0.0
0.0,-15.5,0.0
0.0,-16.0,0.0
0.0,-16.5,0.0
0.0,-17.0,0.0
0.0,-17.5,0.0
0.0,-18.0,0.0
0.0,-18.5,0.0
0.0,-19.0,0.0
0.0,-19.5,0.0
0.0,-20.0,0.0
-0.5,0.0,0.0
-0.5,-0.5,0.0
-0.5,-1.0,3.8766964014727684e-32
-0.5,-1.5,0.0
-0.5,-2.0,0.0
-0.5,-2.5,0.0
-0.5,-3.0,0.0
-0.5,-3.5,0.0
-0.5,-4.0,0.0
-0.5,-4.5,0.0
-0.5,-5.0,0.0
-0.5,-5.5,0.0
-0.5,-6.0,0.0
-0.5,-6.5,0.0
-0.5,-7.0,0.0
-0.5,-7.5,0.0
-0.5,-8.0,0.0
-0.5,-8.5,0.0
-0.5,-9.0,0.0
-0.5,-9.5,0.0
-0.5,-10.0,0.0
-0.5,-10.5,0.0
-0.5,-11.0,0.0
-0.5,-11.5,0.0
-0.5,-12.0,0.0
-0.5,-12.5,0.0
-0.5,-13.0,0.0
-0.5,-13.5,0.0
-0.5,-14.0,0.0
-0.5,-14.5,0.0
-0.5,-15.0,0.0
-0.5,-15.5,0.0
-0.5,-16.0,0.0
-0.5,-16.5,0.0
-0.5,-17.0,0.0
-0.5,-17.5,0.0
-0.5,-18.0,0.0
-0.5,-18.5,0.0
-0.5,-19.0,0.0
-0.5,-19.5,0.0
-0.5,-20.0,0.0
-1.0,0.0,0.0
-1.0,-0.5,0.0
-1.0,-1.0,6.872303657374164e-31
-1.0,-1.5,0.0
-1.0,-2.0,0.0
-1.0,-2.5,0.0
-1.0,-3.0,0.0
-1.0,-3.5,0.0
-1.0,-4.0,0.0
-1.0,-4.5,0.0
-1.0,-5.0,0.0
-1.0,-5.5,0.0
-1.0,-6.0,0.0
-1.0,-6.5,0.0
-1.0,-7.0,0.0
-1.0,-7.5,0.0
-1.0,-8.0,0.0
-1.0,-8.5,0.0
-1.0,-9.0,0.0
-1.0,-9.5,0.0
-1.0,-10.0,0.0
-1.0,-10.5,0.0
-1.0,-11.0,0.0
-1.0,-11.5,0.0
-1.0,-12.0,0.0
-1.0,-12.5,0.0
-1.0,-13.0,0.0
-1.0,-13.5,0.0
-1.0,-14.0,0.0
-1.0,-14.5,0.0
-1.0,-15.0,0.0
-1.0,-15.5,0.0
-1.0,-16.0,0.0
-1.0,-16.5,0.0
-1.0,-17.0,0.0
-1.0,-17.5,0.0
-1.0,-18.0,0.0
-1.0,-18.5,0.0
-1.0,-19.0,0.0
-1.0,-19.5,0.0
-1.0,-20.0,0.0
-1.5,0.0,0.0
-1.5,-0.5,0.0
-1.5,-1.0,-5.483021798002685e-31
-1.5,-1.5,0.0
-1.5,-2.0,0.0
-1.5,-2.5,0.0
-1.5,-3.0,0.0
-1.5,-3.5,0.0
-1.5,-4.0,0.0
-1.5,-4.5,0.0
-1.5,-5.0,0.0
-1.5,-5.5,0.0
-1.5,-6.0,0.0
-1.5,-6.5,0.0
-1.5,-7.0,0.0
-1.5,-7.5,0.0
-1.5,-8.0,0.0
-1.5,-8.5,0.0
-1.5,-9.0,0.0
-1.5,-9.5,0.0
-1.5,-10.0,0.0
-1.5,-10.5,0.0
-1.5,-11.0,0.0
-1.5,-11.5,0.0
-1.5,-12.0,0.0
-1.5,-12.5,0.0
-1.5,-13.0,0.0
-1.5,-13.5,0.0
-1.5,-14.0,0.0
-1.5,-14.5,0.0
-1.5,-15.0,0.0
-1.5,-15.5,0.0
-1.5,-16.0,0.0
-1.5,-16.5,0.0
-1.5,-17.0,0.0
-1.5,-17.5,0.0
-1.5,-18.0,0.0
-1.5,-18.5,0.0
-1.5,-19.0,0.0
-1.5,-19.5,0.0
-1.5,-20.0,0.0
-2.0,0.0,0.0
-2.0,-0.5,0.0
-2.0,-1.0,-8.306920480622753e-31
-2.0,-1.5,0.0
-2.0,-2.0,0.0
-2.0,-2.5,0.0
-2.0,-3.0,0.0
-2.0,-3.5,0.0
-2.0,-4.0,0.0
-2.0,-4.5,0.0
-2.0,-5.0,0.0
-2.0,-5.5,0.0
-2.0,-6.0,0.0
-2.0,-6.5,0.0
-2.0,-7.0,0.0
-2.0,-7.5,0.0
-2.0,-8.0,0.0
-2.0,-8.5,0.0
-2.0,-9.0,0.0
-2.0,-9.5,0.0
-2.0,-10.0,0.0
-2.0,-10.5,0.0
-2.0,-11.0,0.0
-2.0,-11.5,0.0
-2.0,-12.0,0.0
-2.0,-12.5,0.0
-2.0,-13.0,0.0
-2.0,-13.5,0.0
-2.0,-14.0,0.0
-2.0,-14.5,0.0
-2.0,-15.0,0.0
-2.0,-15.5,0.0
-2.0,-16.0,0.0
-2.0,-16.5,0.0
-2.0,-17.0,0.0
-2.0,-17.5,0.0
-2.0,-18.0,0.0
-2.0,-18.5,0.0
-2.0,-19.0,0.0
-2.0,-19.5,0.0
-2.0,-20.0,0.0
-2.5,0.0,0.0
-2.5,-0.5,0.0
-2.5,-1.0,3.4080862508449096e-31
-2.5,-1.5,0.0
-2.5,-2.0,0.0
-2.5,-2.5,0.0
-2.5,-3.0,0.0
-2.5,-3.5,0.0
-2.5,-4.0,0.0
-2.5,-4.5,0.0
-2.5,-5.0,0.0
-2.5,-5.5,0.0
-2.5,-6.0,0.0
-2.5,-6.5,0.0
-2.5,-7.0,0.0
-2.5,-7.5,0.0
-2.5,-8.0,0.0
-2.5,-8.5,0.0
-2.5,-9.0,0.0
-2.5,-9.5,0.0
-2.5,-10.0,0.0
-2.5,-10.5,0.0
-2.5,-11.0,0.0
-2.5,-11.5,0.0
-2.5,-12.0,0.0
-2.5,-12.5,0.0
-2.5,-13.0,0.0
