,gene_id,gene_name,wild_type_growth,knockout_growth,growth_ratio,growth_drop,is_essential,reactions
b1377,b1377,ompN,0.9823718127269792,0.0,0.0,0.9823718127269792,True,"['HG2tex', '3GMPtex', 'GALtex', 'ETHAtex', 'ANHGMtex', 'LCTStex', 'FUMtex', 'LEUtex', 'ARGtex', 'CA2tex', 'TYMtex', 'ACACtex', 'R5Ptex', 'FUSAtex', 'SPMDtex', 'TMAtex', 'DMSOtex', 'MSO3tex', 'DAMPtex', 'LYStex', 'ALAtex', 'PTRCtex', 'GALCTNtex', 'H2Stex', 'HOMtex', 'GALURtex', 'MEOHtex', 'DALAtex', 'DMStex', 'H2tex', 'PROGLYtex', 'GSNtex', 'ILEtex', 'ORNtex', 'GBBTNtex', 'BUTtex', 'NO2tex', 'ACMANAtex', 'CO2tex', 'GAMAN6Ptex', 'DSERtex', 'HCINNMtex', 'METSOX2tex', 'CD2tex', 'DGSNtex', 'MG2tex', 'BTNtex', 'F6Ptex', 'TYRPtex', 'Zn2tex', 'LIPOtex', 'PSERtex', 'SO2tex', 'CRNtex', 'NAtex', 'GAMtex', 'PROtex', 'TREtex', 'MANtex', 'PEAMNtex', '4PEPTtex', 'GLYtex', 'MNLtex', 'FRULYStex', 'GLYBtex', 'PHEtex', 'URAtex', 'G1Ptex', 'SUCCtex', 'AGMtex', 'ACtex', 'FRUtex', 'MAN6Ptex', 'PACALDtex', '23CAMPtex', 'DIMPtex', 'GTHOXtex', 'RIBtex', 'PPALtex', 'ALAALAtex', 'TYRtex', 'ACMUMtex', 'MINCYCtex', 'O2Stex', 'THMtex', 'ARBtex', 'GALCTtex', 'MALDtex', 'GLYC2Ptex', 'FRUURtex', 'PPAtex', 'SO3tex', 'ARBTtex', 'G3PEtex', 'G6Ptex', 'GLCRtex', 'COBALT2tex', 'TARTRtex', '5MTRtex', 'ACGAtex', 'LALALGLUtex', 'CYANtex', 'GLUtex', 'ACALDtex', 'GTHRDtex', 'MMETtex', '23CCMPtex', 'G3PCtex', 'O2tex', 'SO4tex', 'GLCtex_copy1', 'ETHSO3tex', '34dhpactex', 'CU2tex', 'FALDtex', 'G3PGtex', 'NMNtex', 'SELtex', 'IMPtex', 'NOtex', 'BALAtex', 'ASPtex', 'THMDtex', '3PEPTtex', '3UMPtex', '3HPPtex', 'UDPGLCURtex', 'CHTBStex', 'MNtex', 'UDPGALtex', '23DAPPAtex', '23CGMPtex', 'PPTtex', 'ETOHtex', 'QUIN2tex', 'PPPNtex', 'UDPACGALtex', 'GLYC3Ptex', 'N2Otex', 'ALLTNtex', 'CYNTtex', 'RMNtex', 'G3PItex', 'PYDAMtex', 'PSCLYStex', 'ALLtex', 'H2Otex', 'FUCtex', 'DDGLCNtex', 'INDOLEtex', 'NI2tex', 'SKMtex', '4HOXPACDtex', 'SERtex', 'CYTDtex', 'H2O2tex', 'XYLUtex', '23CUMPtex', '5DGLCNtex', '3AMPtex', 'CYSDtex', 'DAPtex', 'DCAtex', 'UMPtex', 'PItex', 'BUTSO3tex', 'THRtex', 'VALtex', 'CITtex', 'ASCBtex', 'GAL1Ptex', 'SUCRtex', 'ACSERtex', 'LALADGLUtex', 'DINStex', 'METSOX1tex', 'SBTtex', 'AKGtex', 'MALtex', 'XANtex', 'CSNtex', 'FORtex', 'GLYALDtex', 'MANGLYCtex', 'HIStex', 'TSULtex', 'ASNtex', 'UREAtex', 'TMAOtex', 'ASO3tex', 'CYStex', 'DHAtex', 'SLNTtex', 'ADEtex', 'G3PStex', 'GALBDtex', 'NH4tex', 'THRPtex', 'Ktex', 'SULFACtex', 'TCYNTtex', 'ABUTtex', 'CGLYtex', 'PYDXtex', 'TRPtex', 'MELIBtex', 'TAURtex', 'GLYCAtex', 'ISETACtex', 'PYDXNtex', 'TUNGStex', 'IDONtex', 'HYXNtex', 'PYRtex', 'DTMPtex', 'XMPtex', 'GLCNtex', 'CUtex', 'GLNtex', 'UDPGtex', 'DCMPtex', 'FE3tex', 'GDPtex', 'OROTtex', 'GTPtex', 'GALCTNLtex', 'CLtex', 'TARTRDtex', 'DOPAtex', 'DUMPtex', 'LYXtex', 'GLCUR1Ptex', 'GLYCLTtex', 'DOXRBCNtex', 'XTSNtex', 'XYLtex', 'FE2tex', 'TTRCYCtex', 'PNTOtex', 'NACtex', 'UACGAMtex', 'CRNDtex', 'HPPPNtex', 'CHLtex', 'NO3tex', 'ACGAL1Ptex', 'GALTtex', 'OCTAtex', 'CMPtex', 'D_LACtex', '12PPDRtex', 'INSTtex', 'DGMPtex', 'ACGAM1Ptex', 'METDtex', 'L_LACtex', 'MOBDtex', 'AMPtex', '26DAHtex', '3CMPtex', 'ACGALtex', 'Htex', '12PPDStex', 'GLYCtex', 'HXAtex', 'CMtex', 'GMPtex', 'METtex', 'GLCURtex', 'THYMtex']"
b0241,b0241,phoE,0.9823718127269792,0.0,0.0,0.9823718127269792,True,"['HG2tex', '3GMPtex', 'GALtex', 'ETHAtex', 'ANHGMtex', 'LCTStex', 'FUMtex', 'LEUtex', 'ARGtex', 'CA2tex', 'TYMtex', 'ACACtex', 'R5Ptex', 'FUSAtex', 'SPMDtex', 'TMAtex', 'DMSOtex', 'MSO3tex', 'DAMPtex', 'LYStex', 'ALAtex', 'PTRCtex', 'GALCTNtex', 'H2Stex', 'HOMtex', 'GALURtex', 'MEOHtex', 'DALAtex', 'DMStex', 'H2tex', 'PROGLYtex', 'GSNtex', 'ILEtex', 'ORNtex', 'GBBTNtex', 'BUTtex', 'NO2tex', 'ACMANAtex', 'CO2tex', 'GAMAN6Ptex', 'DSERtex', 'HCINNMtex', 'METSOX2tex', 'CD2tex', 'DGSNtex', 'MG2tex', 'BTNtex', 'F6Ptex', 'TYRPtex', 'Zn2tex', 'LIPOtex', 'PSERtex', 'SO2tex', 'CRNtex', 'NAtex', 'GAMtex', 'PROtex', 'TREtex', 'MANtex', 'PEAMNtex', '4PEPTtex', 'GLYtex', 'MNLtex', 'FRULYStex', 'GLYBtex', 'PHEtex', 'URAtex', 'G1Ptex', 'SUCCtex', 'AGMtex', 'ACtex', 'FRUtex', 'MAN6Ptex', 'PACALDtex', '23CAMPtex', 'DIMPtex', 'GTHOXtex', 'RIBtex', 'PPALtex', 'ALAALAtex', 'TYRtex', 'ACMUMtex', 'MINCYCtex', 'O2Stex', 'THMtex', 'ARBtex', 'GALCTtex', 'MALDtex', 'GLYC2Ptex', 'FRUURtex', 'PPAtex', 'SO3tex', 'ARBTtex', 'G3PEtex', 'G6Ptex', 'GLCRtex', 'COBALT2tex', 'TARTRtex', '5MTRtex', 'ACGAtex', 'LALALGLUtex', 'CYANtex', 'GLUtex', 'ACALDtex', 'GTHRDtex', 'MMETtex', '23CCMPtex', 'G3PCtex', 'O2tex', 'SO4tex', 'GLCtex_copy1', 'ETHSO3tex', '34dhpactex', 'CU2tex', 'FALDtex', 'G3PGtex', 'NMNtex', 'SELtex', 'IMPtex', 'NOtex', 'BALAtex', 'ASPtex', 'THMDtex', '3PEPTtex', '3UMPtex', '3HPPtex', 'UDPGLCURtex', 'CHTBStex', 'MNtex', 'UDPGALtex', '23DAPPAtex', '23CGMPtex', 'PPTtex', 'ETOHtex', 'QUIN2tex', 'PPPNtex', 'UDPACGALtex', 'GLYC3Ptex', 'N2Otex', 'ALLTNtex', 'CYNTtex', 'RMNtex', 'G3PItex', 'PYDAMtex', 'PSCLYStex', 'ALLtex', 'H2Otex', 'FUCtex', 'DDGLCNtex', 'INDOLEtex', 'NI2tex', 'SKMtex', '4HOXPACDtex', 'SERtex', 'CYTDtex', 'H2O2tex', 'XYLUtex', '23CUMPtex', '5DGLCNtex', '3AMPtex', 'CYSDtex', 'DAPtex', 'DCAtex', 'UMPtex', 'PItex', 'BUTSO3tex', 'THRtex', 'VALtex', 'CITtex', 'ASCBtex', 'GAL1Ptex', 'SUCRtex', 'ACSERtex', 'LALADGLUtex', 'DINStex', 'METSOX1tex', 'SBTtex', 'AKGtex', 'MALtex', 'XANtex', 'CSNtex', 'FORtex', 'GLYALDtex', 'MANGLYCtex', 'HIStex', 'TSULtex', 'ASNtex', 'UREAtex', 'TMAOtex', 'ASO3tex', 'CYStex', 'DHAtex', 'SLNTtex', 'ADEtex', 'G3PStex', 'GALBDtex', 'NH4tex', 'THRPtex', 'Ktex', 'SULFACtex', 'TCYNTtex', 'ABUTtex', 'CGLYtex', 'PYDXtex', 'TRPtex', 'MELIBtex', 'TAURtex', 'GLYCAtex', 'ISETACtex', 'PYDXNtex', 'TUNGStex', 'IDONtex', 'HYXNtex', 'PYRtex', 'DTMPtex', 'XMPtex', 'GLCNtex', 'CUtex', 'GLNtex', 'UDPGtex', 'DCMPtex', 'FE3tex', 'GDPtex', 'OROTtex', 'GTPtex', 'GALCTNLtex', 'CLtex', 'TARTRDtex', 'DOPAtex', 'DUMPtex', 'LYXtex', 'GLCUR1Ptex', 'GLYCLTtex', 'DOXRBCNtex', 'XTSNtex', 'XYLtex', 'FE2tex', 'TTRCYCtex', 'PNTOtex', 'NACtex', 'UACGAMtex', 'CRNDtex', 'HPPPNtex', 'CHLtex', 'NO3tex', 'ACGAL1Ptex', 'GALTtex', 'OCTAtex', 'CMPtex', 'D_LACtex', '12PPDRtex', 'INSTtex', 'DGMPtex', 'ACGAM1Ptex', 'METDtex', 'L_LACtex', 'MOBDtex', 'AMPtex', '26DAHtex', '3CMPtex', 'ACGALtex', 'Htex', '12PPDStex', 'GLYCtex', 'HXAtex', 'CMtex', 'GMPtex', 'METtex', 'GLCURtex', 'THYMtex']"
b0929,b0929,ompF,0.9823718127269792,0.0,0.0,0.9823718127269792,True,"['HG2tex', '3GMPtex', 'GALtex', 'ETHAtex', 'ANHGMtex', 'LCTStex', 'FUMtex', 'LEUtex', 'ARGtex', 'CA2tex', 'TYMtex', 'ACACtex', 'R5Ptex', 'FUSAtex', 'SPMDtex', 'TMAtex', 'DMSOtex', 'MSO3tex', 'DAMPtex', 'LYStex', 'ALAtex', 'PTRCtex', 'GALCTNtex', 'H2Stex', 'HOMtex', 'GALURtex', 'MEOHtex', 'DALAtex', 'DMStex', 'H2tex', 'PROGLYtex', 'GSNtex', 'ILEtex', 'ORNtex', 'GBBTNtex', 'BUTtex', 'NO2tex', 'ACMANAtex', 'CO2tex', 'GAMAN6Ptex', 'DSERtex', 'HCINNMtex', 'METSOX2tex', 'CD2tex', 'DGSNtex', 'MG2tex', 'BTNtex', 'F6Ptex', 'TYRPtex', 'Zn2tex', 'LIPOtex', 'PSERtex', 'SO2tex', 'CRNtex', 'NAtex', 'GAMtex', 'PROtex', 'TREtex', 'MANtex', 'PEAMNtex', '4PEPTtex', 'GLYtex', 'MNLtex', 'FRULYStex', 'GLYBtex', 'PHEtex', 'URAtex', 'G1Ptex', 'SUCCtex', 'AGMtex', 'ACtex', 'FRUtex', 'MAN6Ptex', 'PACALDtex', '23CAMPtex', 'DIMPtex', 'GTHOXtex', 'RIBtex', 'PPALtex', 'ALAALAtex', 'TYRtex', 'ACMUMtex', 'MINCYCtex', 'O2Stex', 'THMtex', 'ARBtex', 'GALCTtex', 'MALDtex', 'GLYC2Ptex', 'FRUURtex', 'PPAtex', 'SO3tex', 'ARBTtex', 'G3PEtex', 'G6Ptex', 'GLCRtex', 'COBALT2tex', 'TARTRtex', '5MTRtex', 'ACGAtex', 'LALALGLUtex', 'CYANtex', 'GLUtex', 'ACALDtex', 'GTHRDtex', 'MMETtex', '23CCMPtex', 'G3PCtex', 'O2tex', 'SO4tex', 'GLCtex_copy1', 'ETHSO3tex', '34dhpactex', 'CU2tex', 'FALDtex', 'G3PGtex', 'NMNtex', 'SELtex', 'IMPtex', 'NOtex', 'BALAtex', 'ASPtex', 'THMDtex', '3PEPTtex', '3UMPtex', '3HPPtex', 'UDPGLCURtex', 'CHTBStex', 'MNtex', 'UDPGALtex', '23DAPPAtex', '23CGMPtex', 'PPTtex', 'ETOHtex', 'QUIN2tex', 'PPPNtex', 'UDPACGALtex', 'GLYC3Ptex', 'N2Otex', 'ALLTNtex', 'CYNTtex', 'RMNtex', 'G3PItex', 'PYDAMtex', 'PSCLYStex', 'ALLtex', 'H2Otex', 'FUCtex', 'DDGLCNtex', 'INDOLEtex', 'NI2tex', 'ACNAMtex', 'SKMtex', '4HOXPACDtex', 'SERtex', 'CYTDtex', 'H2O2tex', 'XYLUtex', '23CUMPtex', '5DGLCNtex', '3AMPtex', 'CYSDtex', 'DAPtex', 'DCAtex', 'UMPtex', 'PItex', 'BUTSO3tex', 'THRtex', 'VALtex', 'CITtex', 'ASCBtex', 'GAL1Ptex', 'SUCRtex', 'ACSERtex', 'LALADGLUtex', 'DINStex', 'METSOX1tex', 'SBTtex', 'AKGtex', 'MALtex', 'XANtex', 'CSNtex', 'FORtex', 'GLYALDtex', 'MANGLYCtex', 'HIStex', 'TSULtex', 'ASNtex', 'UREAtex', 'TMAOtex', 'ASO3tex', 'CYStex', 'DHAtex', 'SLNTtex', 'ADEtex', 'G3PStex', 'GALBDtex', 'NH4tex', 'THRPtex', 'Ktex', 'SULFACtex', 'TCYNTtex', 'ABUTtex', 'CGLYtex', 'PYDXtex', 'TRPtex', 'MELIBtex', 'TAURtex', 'GLYCAtex', 'ISETACtex', 'PYDXNtex', 'TUNGStex', 'IDONtex', 'HYXNtex', 'PYRtex', 'DTMPtex', 'XMPtex', 'GLCNtex', 'CUtex', 'GLNtex', 'UDPGtex', 'DCMPtex', 'FE3tex', 'GDPtex', 'OROTtex', 'GTPtex', 'GALCTNLtex', 'CLtex', 'TARTRDtex', 'DOPAtex', 'DUMPtex', 'LYXtex', 'GLCUR1Ptex', 'GLYCLTtex', 'DOXRBCNtex', 'XTSNtex', 'XYLtex', 'FE2tex', 'TTRCYCtex', 'PNTOtex', 'NACtex', 'UACGAMtex', 'CRNDtex', 'HPPPNtex', 'CHLtex', 'NO3tex', 'ACGAL1Ptex', 'GALTtex', 'OCTAtex', 'CMPtex', 'D_LACtex', '12PPDRtex', 'INSTtex', 'DGMPtex', 'ACGAM1Ptex', 'METDtex', 'L_LACtex', 'MOBDtex', 'AMPtex', '26DAHtex', '3CMPtex', 'ACGALtex', 'Htex', '12PPDStex', 'GLYCtex', 'HXAtex', 'CMtex', 'GMPtex', 'METtex', 'GLCURtex', 'THYMtex']"
b2215,b2215,ompC,0.9823718127269792,0.0,0.0,0.9823718127269792,True,"['HG2tex', '3GMPtex', 'GALtex', 'ETHAtex', 'ANHGMtex', 'LCTStex', 'FUMtex', 'LEUtex', 'ARGtex', 'CA2tex', 'TYMtex', 'ACACtex', 'R5Ptex', 'FUSAtex', 'SPMDtex', 'TMAtex', 'DMSOtex', 'MSO3tex', 'DAMPtex', 'LYStex', 'ALAtex', 'PTRCtex', 'GALCTNtex', 'H2Stex', 'HOMtex', 'GALURtex', 'MEOHtex', 'DALAtex', 'DMStex', 'H2tex', 'PROGLYtex', 'GSNtex', 'ILEtex', 'ORNtex', 'GBBTNtex', 'BUTtex', 'NO2tex', 'ACMANAtex', 'CO2tex', 'GAMAN6Ptex', 'DSERtex', 'HCINNMtex', 'METSOX2tex', 'CD2tex', 'DGSNtex', 'MG2tex', 'BTNtex', 'F6Ptex', 'TYRPtex', 'Zn2tex', 'LIPOtex', 'PSERtex', 'SO2tex', 'CRNtex', 'NAtex', 'GAMtex', 'PROtex', 'TREtex', 'MANtex', 'PEAMNtex', '4PEPTtex', 'GLYtex', 'MNLtex', 'FRULYStex', 'GLYBtex', 'PHEtex', 'URAtex', 'G1Ptex', 'SUCCtex', 'AGMtex', 'ACtex', 'FRUtex', 'MAN6Ptex', 'PACALDtex', '23CAMPtex', 'DIMPtex', 'GTHOXtex', 'RIBtex', 'PPALtex', 'ALAALAtex', 'TYRtex', 'ACMUMtex', 'MINCYCtex', 'O2Stex', 'THMtex', 'ARBtex', 'GALCTtex', 'MALDtex', 'GLYC2Ptex', 'FRUURtex', 'PPAtex', 'SO3tex', 'ARBTtex', 'G3PEtex', 'G6Ptex', 'GLCRtex', 'COBALT2tex', 'TARTRtex', '5MTRtex', 'ACGAtex', 'LALALGLUtex', 'CYANtex', 'GLUtex', 'ACALDtex', 'GTHRDtex', 'MMETtex', '23CCMPtex', 'G3PCtex', 'O2tex', 'SO4tex', 'GLCtex_copy1', 'ETHSO3tex', '34dhpactex', 'CU2tex', 'FALDtex', 'G3PGtex', 'NMNtex', 'SELtex', 'IMPtex', 'NOtex', 'BALAtex', 'ASPtex', 'THMDtex', '3PEPTtex', '3UMPtex', '3HPPtex', 'UDPGLCURtex', 'CHTBStex', 'MNtex', 'UDPGALtex', '23DAPPAtex', '23CGMPtex', 'PPTtex', 'ETOHtex', 'QUIN2tex', 'PPPNtex', 'UDPACGALtex', 'GLYC3Ptex', 'N2Otex', 'ALLTNtex', 'CYNTtex', 'RMNtex', 'G3PItex', 'PYDAMtex', 'PSCLYStex', 'ALLtex', 'H2Otex', 'FUCtex', 'DDGLCNtex', 'INDOLEtex', 'NI2tex', 'ACNAMtex', 'SKMtex', '4HOXPACDtex', 'SERtex', 'CYTDtex', 'H2O2tex', 'XYLUtex', '23CUMPtex', '5DGLCNtex', '3AMPtex', 'CYSDtex', 'DAPtex', 'DCAtex', 'UMPtex', 'PItex', 'BUTSO3tex', 'THRtex', 'VALtex', 'CITtex', 'ASCBtex', 'GAL1Ptex', 'SUCRtex', 'ACSERtex', 'LALADGLUtex', 'DINStex', 'METSOX1tex', 'SBTtex', 'AKGtex', 'MALtex', 'XANtex', 'CSNtex', 'FORtex', 'GLYALDtex', 'MANGLYCtex', 'HIStex', 'TSULtex', 'ASNtex', 'UREAtex', 'TMAOtex', 'ASO3tex', 'CYStex', 'DHAtex', 'SLNTtex', 'ADEtex', 'G3PStex', 'GALBDtex', 'NH4tex', 'THRPtex', 'Ktex', 'SULFACtex', 'TCYNTtex', 'ABUTtex', 'CGLYtex', 'PYDXtex', 'TRPtex', 'MELIBtex', 'TAURtex', 'GLYCAtex', 'ISETACtex', 'PYDXNtex', 'TUNGStex', 'IDONtex', 'HYXNtex', 'PYRtex', 'DTMPtex', 'XMPtex', 'GLCNtex', 'CUtex', 'GLNtex', 'UDPGtex', 'DCMPtex', 'FE3tex', 'GDPtex', 'OROTtex', 'GTPtex', 'GALCTNLtex', 'CLtex', 'TARTRDtex', 'DOPAtex', 'DUMPtex', 'LYXtex', 'GLCUR1Ptex', 'GLYCLTtex', 'DOXRBCNtex', 'XTSNtex', 'XYLtex', 'FE2tex', 'TTRCYCtex', 'PNTOtex', 'NACtex', 'UACGAMtex', 'CRNDtex', 'HPPPNtex', 'CHLtex', 'NO3tex', 'ACGAL1Ptex', 'GALTtex', 'OCTAtex', 'CMPtex', 'D_LACtex', '12PPDRtex', 'INSTtex', 'DGMPtex', 'ACGAM1Ptex', 'METDtex', 'L_LACtex', 'MOBDtex', 'AMPtex', '26DAHtex', '3CMPtex', 'ACGALtex', 'Htex', '12PPDStex', 'GLYCtex', 'HXAtex', 'CMtex', 'GMPtex', 'METtex', 'GLCURtex', 'THYMtex']"
b0653,b0653,gltK,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['GLUabcpp', 'ASPabcpp']"
b0655,b0655,gltI,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['GLUabcpp', 'ASPabcpp']"
b0118,b0118,acnB,0.9823718127269792,-3.5639100852707355e-16,-3.6278627288558185e-16,0.9823718127269795,True,"['ACONTb', 'MICITDr', 'ACONTa']"
b1276,b1276,acnA,0.9823718127269792,-3.5639100852707355e-16,-3.6278627288558185e-16,0.9823718127269795,True,"['ACONTb', 'ACONTa']"
b4032,b4032,malG,0.9823718127269792,0.9823718127269732,0.9999999999999939,5.995204332975845e-15,False,"['MALTabcpp', 'MALTTRabcpp', 'MALTHXabcpp', 'MALTPTabcpp', 'MALTTTRabcpp', '14GLUCANabcpp']"
b3359,b3359,argD,0.9823718127269792,-1.231262255001386e-16,-1.2533566609403303e-16,0.9823718127269793,True,"['ACOTA', 'SDPTA']"
