substrate_flux,o2_flux,growth_rate
0.0,0.0,0.24150155709717833
0.0,-1.0,0.2920454261439274
0.0,-2.0,0.3419203566049418
0.0,-3.0,0.3917952870659481
0.0,-4.0,0.44167021752696234
0.0,-5.0,0.4915451479879641
0.0,-6.0,0.5407295602182538
0.0,-7.0,0.5832648255254885
0.0,-8.0,0.6258000908327286
0.0,-9.0,0.6683353561399613
0.0,-10.0,0.7108706214472117
0.0,-11.0,0.75340588675445
0.0,-12.0,0.7959411520616917
0.0,-13.0,0.8347038807961581
0.0,-14.0,0.8669605706010138
0.0,-15.0,0.8992172604058405
-1.0,0.0,0.24150155709720297
-1.0,-1.0,0.2920454261439348
-1.0,-2.0,0.34192035660493747
-1.0,-3.0,0.391795287065951
-1.0,-4.0,0.4416702175269618
-1.0,-5.0,0.49154514798797544
-1.0,-6.0,0.5407295602182527
-1.0,-7.0,0.5832648255254814
-1.0,-8.0,0.6258000908327321
-1.0,-9.0,0.6683353561399723
-1.0,-10.0,0.7108706214471944
-1.0,-11.0,0.7534058867544088
-1.0,-12.0,0.7959411520616709
-1.0,-13.0,0.834703880796139
-1.0,-14.0,0.866960570600992
-1.0,-15.0,0.8992172604058357
-2.0,0.0,0.24150155709589702
-2.0,-1.0,0.2920454261439259
-2.0,-2.0,0.3419203566049422
-2.0,-3.0,0.39179528706595507
-2.0,-4.0,0.4416702175269675
-2.0,-5.0,0.4915451479879799
-2.0,-6.0,0.5407295602182586
-2.0,-7.0,0.5832648255254906
-2.0,-8.0,0.6258000908327387
-2.0,-9.0,0.6683353561399724
-2.0,-10.0,0.7108706214472201
-2.0,-11.0,0.7534058867544338
-2.0,-12.0,0.7959411520616916
-2.0,-13.0,0.8347038807961545
-2.0,-14.0,0.866960570600985
-2.0,-15.0,0.8992172604058676
-3.0,0.0,0.2415015570921123
-3.0,-1.0,0.2920454261439227
-3.0,-2.0,0.34192035660494063
-3.0,-3.0,0.39179528706595323
-3.0,-4.0,0.4416702175269627
-3.0,-5.0,0.49154514798797666
-3.0,-6.0,0.5407295602182548
-3.0,-7.0,0.5832648255254942
-3.0,-8.0,0.6258000908327324
-3.0,-9.0,0.668335356139956
-3.0,-10.0,0.710870621447217
-3.0,-11.0,0.7534058867544472
-3.0,-12.0,0.7959411520616795
-3.0,-13.0,0.8347038807961473
-3.0,-14.0,0.8669605706009964
-3.0,-15.0,0.8992172604058535
-4.0,0.0,0.24150155709717
-4.0,-1.0,0.2920454261439343
-4.0,-2.0,0.3419203566049356
-4.0,-3.0,0.39179528706593997
-4.0,-4.0,0.44167021752695224
-4.0,-5.0,0.49154514798796317
-4.0,-6.0,0.5407295602182463
-4.0,-7.0,0.5832648255254831
-4.0,-8.0,0.6258000908327298
-4.0,-9.0,0.6683353561399626
-4.0,-10.0,0.7108706214472064
-4.0,-11.0,0.7534058867544458
-4.0,-12.0,0.7959411520616843
-4.0,-13.0,0.8347038807961502
-4.0,-14.0,0.8669605706009835
-4.0,-15.0,0.8992172604058389
-5.0,0.0,0.24150155709717813
-5.0,-1.0,0.29204542614392737
-5.0,-2.0,0.3419203566049334
-5.0,-3.0,0.39179528706594574
-5.0,-4.0,0.44167021752695945
-5.0,-5.0,0.4915451479879706
-5.0,-6.0,0.5407295602182491
-5.0,-7.0,0.583264825525492
-5.0,-8.0,0.6258000908327351
-5.0,-9.0,0.6683353561399751
-5.0,-10.0,0.7108706214472106
-5.0,-11.0,0.7534058867544408
-5.0,-12.0,0.7959411520616574
-5.0,-13.0,0.8347038807961425
-5.0,-14.0,0.8669605706009965
-5.0,-15.0,0.8992172604058438
-6.0,0.0,0.2415015570971796
-6.0,-1.0,0.2920454261439316
-6.0,-2.0,0.3419203566049399
-6.0,-3.0,0.39179528706595135
-6.0,-4.0,0.4416702175269633
-6.0,-5.0,0.49154514798797555
-6.0,-6.0,0.5407295602182549
-6.0,-7.0,0.5832648255254895
-6.0,-8.0,0.6258000908327306
-6.0,-9.0,0.6683353561399555
-6.0,-10.0,0.7108706214471974
-6.0,-11.0,0.7534058867544104
-6.0,-12.0,0.7959411520616719
-6.0,-13.0,0.8347038807961374
-6.0,-14.0,0.8669605706009995
-6.0,-15.0,0.8992172604058454
-7.0,0.0,0.24150155709828824
-7.0,-1.0,0.29204542614392043
-7.0,-2.0,0.34192035660493647
-7.0,-3.0,0.39179528706594896
-7.0,-4.0,0.44167021752695623
-7.0,-5.0,0.4915451479879709
-7.0,-6.0,0.5407295602182488
-7.0,-7.0,0.5832648255254935
-7.0,-8.0,0.6258000908327445
-7.0,-9.0,0.6683353561399817
-7.0,-10.0,0.710870621447204
-7.0,-11.0,0.7534058867544436
-7.0,-12.0,0.7959411520616759
-7.0,-13.0,0.8347038807961468
-7.0,-14.0,0.8669605706009957
-7.0,-15.0,0.8992172604058308
-8.0,0.0,0.24150155709717921
-8.0,-1.0,0.2920454261439321
-8.0,-2.0,0.34192035660493536
-8.0,-3.0,0.3917952870659469
-8.0,-4.0,0.44167021752695973
-8.0,-5.0,0.4915451479879698
-8.0,-6.0,0.5407295602182475
-8.0,-7.0,0.5832648255254952
-8.0,-8.0,0.6258000908327304
-8.0,-9.0,0.6683353561399705
-8.0,-10.0,0.7108706214472146
-8.0,-11.0,0.7534058867544283
-8.0,-12.0,0.7959411520616915
-8.0,-13.0,0.8347038807961562
-8.0,-14.0,0.8669605706010004
-8.0,-15.0,0.8992172604058526
-9.0,0.0,0.24150155709734752
-9.0,-1.0,0.29204542614393
-9.0,-2.0,0.3419203566049396
-9.0,-3.0,0.3917952870659523
-9.0,-4.0,0.44167021752696306
-9.0,-5.0,0.4915451479879766
-9.0,-6.0,0.5407295602182548
-9.0,-7.0,0.583264825525492
-9.0,-8.0,0.6258000908327281
-9.0,-9.0,0.6683353561399672
-9.0,-10.0,0.7108706214472128
-9.0,-11.0,0.753405886754427
-9.0,-12.0,0.7959411520616634
-9.0,-13.0,0.8347038807961314
-9.0,-14.0,0.86696057060099
-9.0,-15.0,0.8992172604058317
-10.0,0.0,0.24150155709717236
